IID	Group	Sex	Date	Population	NumSNPs	k1	k2
HG03006.SG	BEB.SG	M	0	BEB.SG	1145534	0.998160	0.001840
HG03007.SG	BEB.SG	F	0	BEB.SG	1148160	0.997779	0.002221
HG03009.SG	BEB.SG	M	0	BEB.SG	1139440	0.930949	0.069051
HG03012.SG	BEB.SG	M	0	BEB.SG	1137397	0.966127	0.033873
HG03585.SG	BEB.SG	M	0	BEB.SG	1138178	0.965774	0.034226
HG03589.SG	BEB.SG	F	0	BEB.SG	1138334	0.949134	0.050866
HG03593.SG	BEB.SG	M	0	BEB.SG	1134601	0.971245	0.028755
HG03594.SG	BEB.SG	M	0	BEB.SG	1142052	0.974900	0.025100
HG03595.SG	BEB.SG	F	0	BEB.SG	1145708	0.940700	0.059300
HG03598.SG	BEB.SG	F	0	BEB.SG	1139787	0.966374	0.033626
HG03600.SG	BEB.SG	M	0	BEB.SG	1146900	0.999990	0.000010
HG03603.SG	BEB.SG	M	0	BEB.SG	1144038	0.999990	0.000010
HG03604.SG	BEB.SG	F	0	BEB.SG	1138174	0.991859	0.008141
HG03607.SG	BEB.SG	F	0	BEB.SG	1146834	0.948418	0.051582
HG03611.SG	BEB.SG	F	0	BEB.SG	1147361	0.948883	0.051117
HG03615.SG	BEB.SG	M	0	BEB.SG	1148216	0.954784	0.045216
HG03616.SG	BEB.SG	F	0	BEB.SG	1149900	0.950838	0.049162
HG03793.SG	BEB.SG	F	0	BEB.SG	1145719	0.999990	0.000010
HG03800.SG	BEB.SG	M	0	BEB.SG	1147334	0.999990	0.000010
HG03802.SG	BEB.SG	F	0	BEB.SG	1148440	0.999990	0.000010
HG03803.SG	BEB.SG	M	0	BEB.SG	1148538	0.934500	0.065500
HG03805.SG	BEB.SG	F	0	BEB.SG	1038990	0.973485	0.026515
HG03808.SG	BEB.SG	F	0	BEB.SG	1139453	0.951350	0.048650
HG03809.SG	BEB.SG	M	0	BEB.SG	1134115	0.961742	0.038258
HG03812.SG	BEB.SG	M	0	BEB.SG	1137017	0.960278	0.039722
HG03814.SG	BEB.SG	F	0	BEB.SG	1148428	0.945671	0.054329
HG03815.SG	BEB.SG	M	0	BEB.SG	1146285	0.979834	0.020166
HG03817.SG	BEB.SG	F	0	BEB.SG	1129861	0.949104	0.050896
HG03821.SG	BEB.SG	M	0	BEB.SG	1124283	0.983099	0.016901
HG03823.SG	BEB.SG	F	0	BEB.SG	1137802	0.961451	0.038549
HG03824.SG	BEB.SG	M	0	BEB.SG	1147199	0.983809	0.016191
HG03826.SG	BEB.SG	F	0	BEB.SG	1143283	0.953898	0.046102
HG03829.SG	BEB.SG	F	0	BEB.SG	1145933	0.995048	0.004952
HG03830.SG	BEB.SG	M	0	BEB.SG	1142129	0.968508	0.031492
