IID	Group	Sex	Date	Population	NumSNPs	k1	k2
HG03832.SG	BEB.SG	F	0	BEB.SG	1129994	0.986241	0.013759
HG03833.SG	BEB.SG	M	0	BEB.SG	1083611	0.932866	0.067134
HG03902.SG	BEB.SG	M	0	BEB.SG	1135688	0.899102	0.100898
HG03905.SG	BEB.SG	M	0	BEB.SG	1135765	0.951662	0.048338
HG03907.SG	BEB.SG	F	0	BEB.SG	1145281	0.992713	0.007287
HG03908.SG	BEB.SG	M	0	BEB.SG	1145679	0.965144	0.034856
HG03910.SG	BEB.SG	F	0	BEB.SG	1137779	0.969194	0.030806
HG03911.SG	BEB.SG	M	0	BEB.SG	1134626	0.946718	0.053282
HG03913.SG	BEB.SG	F	0	BEB.SG	1129102	0.995407	0.004593
HG03914.SG	BEB.SG	M	0	BEB.SG	1135788	0.976013	0.023987
HG03916.SG	BEB.SG	F	0	BEB.SG	1129812	0.983281	0.016719
HG03917.SG	BEB.SG	M	0	BEB.SG	1141837	0.980694	0.019306
HG03919.SG	BEB.SG	F	0	BEB.SG	1135316	0.865244	0.134756
HG03920.SG	BEB.SG	M	0	BEB.SG	1141147	0.987289	0.012711
HG03922.SG	BEB.SG	F	0	BEB.SG	1143113	0.961203	0.038797
HG03925.SG	BEB.SG	F	0	BEB.SG	1143551	0.956275	0.043725
HG03926.SG	BEB.SG	M	0	BEB.SG	1116650	0.952673	0.047327
HG03928.SG	BEB.SG	F	0	BEB.SG	1140150	0.977916	0.022084
HG03931.SG	BEB.SG	F	0	BEB.SG	1141525	0.959639	0.040361
HG03934.SG	BEB.SG	F	0	BEB.SG	1139185	0.940158	0.059842
HG03937.SG	BEB.SG	F	0	BEB.SG	1139525	0.977723	0.022277
HG03940.SG	BEB.SG	F	0	BEB.SG	1142240	0.999990	0.000010
HG03941.SG	BEB.SG	M	0	BEB.SG	1147610	0.999990	0.000010
HG04131.SG	BEB.SG	M	0	BEB.SG	1125277	0.952605	0.047395
HG04134.SG	BEB.SG	M	0	BEB.SG	1121416	0.955114	0.044886
HG04140.SG	BEB.SG	M	0	BEB.SG	1131272	0.999990	0.000010
HG04141.SG	BEB.SG	F	0	BEB.SG	1128232	0.976697	0.023303
HG04144.SG	BEB.SG	F	0	BEB.SG	1147127	0.873050	0.126950
HG04146.SG	BEB.SG	M	0	BEB.SG	1140575	0.958525	0.041475
HG04152.SG	BEB.SG	M	0	BEB.SG	1147584	0.965939	0.034061
HG04153.SG	BEB.SG	F	0	BEB.SG	1146376	0.946487	0.053513
HG04155.SG	BEB.SG	M	0	BEB.SG	1139874	0.999990	0.000010
HG04156.SG	BEB.SG	F	0	BEB.SG	1131780	0.936856	0.063144
HG04158.SG	BEB.SG	M	0	BEB.SG	1024218	0.963061	0.036939
HG04159.SG	BEB.SG	F	0	BEB.SG	1138449	0.957553	0.042447
HG04161.SG	BEB.SG	M	0	BEB.SG	1148018	0.999990	0.000010
HG04162.SG	BEB.SG	F	0	BEB.SG	1145578	0.990815	0.009185
HG04164.SG	BEB.SG	M	0	BEB.SG	1147592	0.949758	0.050242
HG04171.SG	BEB.SG	F	0	BEB.SG	1146531	0.961638	0.038362
HG04173.SG	BEB.SG	M	0	BEB.SG	1126031	0.963447	0.036553
HG04176.SG	BEB.SG	M	0	BEB.SG	1147343	0.962850	0.037150
HG04177.SG	BEB.SG	F	0	BEB.SG	1148028	0.966269	0.033731
HG04180.SG	BEB.SG	F	0	BEB.SG	1148539	0.991222	0.008778
HG04182.SG	BEB.SG	M	0	BEB.SG	1127569	0.969519	0.030481
HG04183.SG	BEB.SG	F	0	BEB.SG	1119706	0.933290	0.066710
HG04185.SG	BEB.SG	M	0	BEB.SG	1120557	0.999990	0.000010
HG04186.SG	BEB.SG	F	0	BEB.SG	1139645	0.999990	0.000010
HG04188.SG	BEB.SG	M	0	BEB.SG	1146875	0.990550	0.009450
HG04189.SG	BEB.SG	F	0	BEB.SG	1144826	0.999990	0.000010
HG04194.SG	BEB.SG	M	0	BEB.SG	1148776	0.923718	0.076282
HG04195.SG	BEB.SG	F	0	BEB.SG	1143259	0.960951	0.039049
NA20845.SG	GIH.SG	M	0	GIH.SG	1144010	0.707073	0.292927
NA20846.SG	GIH.SG	M	0	GIH.SG	1123964	0.682644	0.317356
NA20847.SG	GIH.SG	F	0	GIH.SG	1101756	0.848475	0.151525
NA20849.SG	GIH.SG	F	0	GIH.SG	1144073	0.857479	0.142521
NA20850.SG	GIH.SG	M	0	GIH.SG	1092694	0.565110	0.434890
NA20851.SG	GIH.SG	F	0	GIH.SG	1082106	0.831247	0.168753
NA20852.SG	GIH.SG	M	0	GIH.SG	1093115	0.725905	0.274095
NA20853.SG	GIH.SG	F	0	GIH.SG	1137876	0.857698	0.142302
NA20854.SG	GIH.SG	F	0	GIH.SG	1113413	0.689102	0.310898
NA20856.SG	GIH.SG	F	0	GIH.SG	1070595	0.815399	0.184601
NA20858.SG	GIH.SG	M	0	GIH.SG	1105105	0.444068	0.555932
NA20859.SG	GIH.SG	F	0	GIH.SG	1144333	0.852653	0.147347
NA20861.SG	GIH.SG	M	0	GIH.SG	1121279	0.901035	0.098965
NA20862.SG	GIH.SG	F	0	GIH.SG	1114585	0.557545	0.442455
NA20863.SG	GIH.SG	M	0	GIH.SG	1144703	0.886488	0.113512
NA20864.SG	GIH.SG	M	0	GIH.SG	1145728	0.652037	0.347963
NA20866.SG	GIH.SG	M	0	GIH.SG	1135091	0.744629	0.255371
NA20867.SG	GIH.SG	M	0	GIH.SG	1137998	0.857609	0.142391
NA20868.SG	GIH.SG	F	0	GIH.SG	1139082	0.918340	0.081660
NA20869.SG	GIH.SG	F	0	GIH.SG	1129231	0.847495	0.152505
NA20870.SG	GIH.SG	M	0	GIH.SG	1105985	0.431674	0.568326
NA20871.SG	GIH.SG	M	0	GIH.SG	1130065	0.888847	0.111153
NA20872.SG	GIH.SG	F	0	GIH.SG	1134294	0.504583	0.495417
NA20874.SG	GIH.SG	F	0	GIH.SG	1084176	0.728574	0.271426
NA20875.SG	GIH.SG	F	0	GIH.SG	1097830	0.855173	0.144827
NA20876.SG	GIH.SG	F	0	GIH.SG	1132476	0.832968	0.167032
NA20877.SG	GIH.SG	F	0	GIH.SG	1105098	0.828790	0.171210
NA20878.SG	GIH.SG	F	0	GIH.SG	1110414	0.864203	0.135797
NA20882.SG	GIH.SG	F	0	GIH.SG	1134222	0.590184	0.409816
NA20884.SG	GIH.SG	M	0	GIH.SG	1098270	0.901852	0.098148
NA20885.SG	GIH.SG	M	0	GIH.SG	1142488	0.685134	0.314866
NA20886.SG	GIH.SG	F	0	GIH.SG	1142381	0.539082	0.460918
NA20887.SG	GIH.SG	M	0	GIH.SG	1131027	0.781065	0.218935
NA20888.SG	GIH.SG	F	0	GIH.SG	1134220	0.854018	0.145982
NA20889.SG	GIH.SG	M	0	GIH.SG	1138009	0.843078	0.156922
NA20890.SG	GIH.SG	M	0	GIH.SG	1134640	0.658451	0.341549
NA20891.SG	GIH.SG	M	0	GIH.SG	1145331	0.608287	0.391713
NA20892.SG	GIH.SG	F	0	GIH.SG	1138970	0.862941	0.137059
NA20893.SG	GIH.SG	F	0	GIH.SG	1122499	0.736045	0.263955
NA20894.SG	GIH.SG	F	0	GIH.SG	1143157	0.706134	0.293866
NA20895.SG	GIH.SG	M	0	GIH.SG	1142904	0.741213	0.258787
NA20896.SG	GIH.SG	F	0	GIH.SG	1140711	0.915240	0.084760
NA20897.SG	GIH.SG	M	0	GIH.SG	1132292	0.999990	0.000010
NA20898.SG	GIH.SG	M	0	GIH.SG	1140945	0.536434	0.463566
NA20899.SG	GIH.SG	F	0	GIH.SG	1137038	0.879808	0.120192
NA20900.SG	GIH.SG	F	0	GIH.SG	1138592	0.571952	0.428048
NA20901.SG	GIH.SG	M	0	GIH.SG	1139326	0.797242	0.202758
NA20902.SG	GIH.SG	F	0	GIH.SG	1137661	0.912796	0.087204
NA20903.SG	GIH.SG	M	0	GIH.SG	1139154	0.746723	0.253277
NA20904.SG	GIH.SG	M	0	GIH.SG	1144085	0.530325	0.469675
NA20905.SG	GIH.SG	M	0	GIH.SG	1123789	0.833530	0.166470
NA20906.SG	GIH.SG	F	0	GIH.SG	1130931	0.992727	0.007273
NA20908.SG	GIH.SG	F	0	GIH.SG	1139660	0.941287	0.058713
NA20910.SG	GIH.SG	F	0	GIH.SG	1137601	0.581867	0.418133
NA20911.SG	GIH.SG	M	0	GIH.SG	1141466	0.870434	0.129566
NA21086.SG	GIH.SG	F	0	GIH.SG	1127366	0.893190	0.106810
NA21087.SG	GIH.SG	M	0	GIH.SG	1124816	0.911821	0.088179
NA21088.SG	GIH.SG	F	0	GIH.SG	1135122	0.867327	0.132673
NA21089.SG	GIH.SG	F	0	GIH.SG	1120751	0.876918	0.123082
NA21090.SG	GIH.SG	M	0	GIH.SG	1128178	0.885365	0.114635
NA21091.SG	GIH.SG	M	0	GIH.SG	1118764	0.844228	0.155772
NA21092.SG	GIH.SG	M	0	GIH.SG	1133565	0.780077	0.219923
NA21093.SG	GIH.SG	M	0	GIH.SG	1137434	0.917995	0.082005
NA21094.SG	GIH.SG	M	0	GIH.SG	1112174	0.882066	0.117934
NA21095.SG	GIH.SG	M	0	GIH.SG	1147533	0.855050	0.144950
NA21097.SG	GIH.SG	F	0	GIH.SG	1120401	0.773630	0.226370
NA21098.SG	GIH.SG	M	0	GIH.SG	1125444	0.871829	0.128171
NA21099.SG	GIH.SG	M	0	GIH.SG	1038668	0.808389	0.191611
NA21100.SG	GIH.SG	M	0	GIH.SG	1137033	0.884562	0.115438
NA21101.SG	GIH.SG	F	0	GIH.SG	1127444	0.847963	0.152037
NA21102.SG	GIH.SG	F	0	GIH.SG	1105701	0.889532	0.110468
NA21103.SG	GIH.SG	F	0	GIH.SG	1116204	0.886309	0.113691
NA21104.SG	GIH.SG	M	0	GIH.SG	1143314	0.905988	0.094012
NA21105.SG	GIH.SG	M	0	GIH.SG	1137251	0.807002	0.192998
NA21106.SG	GIH.SG	F	0	GIH.SG	1146439	0.857973	0.142027
NA21107.SG	GIH.SG	M	0	GIH.SG	1139646	0.790780	0.209220
NA21108.SG	GIH.SG	F	0	GIH.SG	1132935	0.552077	0.447923
NA21109.SG	GIH.SG	M	0	GIH.SG	1122141	0.849088	0.150912
NA21110.SG	GIH.SG	F	0	GIH.SG	1132254	0.862629	0.137371
NA21111.SG	GIH.SG	M	0	GIH.SG	1145254	0.861628	0.138372
NA21112.SG	GIH.SG	M	0	GIH.SG	1144513	0.882084	0.117916
NA21113.SG	GIH.SG	M	0	GIH.SG	1138010	0.868690	0.131310
NA21114.SG	GIH.SG	M	0	GIH.SG	1131010	0.887421	0.112579
NA21115.SG	GIH.SG	M	0	GIH.SG	1086718	0.866309	0.133691
NA21116.SG	GIH.SG	M	0	GIH.SG	1147206	0.792617	0.207383
NA21117.SG	GIH.SG	M	0	GIH.SG	1140863	0.855239	0.144761
NA21118.SG	GIH.SG	M	0	GIH.SG	1145166	0.885910	0.114090
NA21119.SG	GIH.SG	M	0	GIH.SG	1145635	0.846120	0.153880
NA21120.SG	GIH.SG	F	0	GIH.SG	1146680	0.769682	0.230318
NA21122.SG	GIH.SG	F	0	GIH.SG	1078485	0.832818	0.167182
NA21123.SG	GIH.SG	M	0	GIH.SG	1082345	0.847132	0.152868
NA21124.SG	GIH.SG	M	0	GIH.SG	1146854	0.873209	0.126791
NA21125.SG	GIH.SG	F	0	GIH.SG	1149928	0.861585	0.138415
NA21126.SG	GIH.SG	M	0	GIH.SG	1148943	0.899354	0.100646
NA21127.SG	GIH.SG	M	0	GIH.SG	1136131	0.871032	0.128968
NA21128.SG	GIH.SG	M	0	GIH.SG	1136559	0.865135	0.134865
NA21129.SG	GIH.SG	M	0	GIH.SG	1148210	0.908133	0.091867
NA21130.SG	GIH.SG	M	0	GIH.SG	1144165	0.824024	0.175976
NA21133.SG	GIH.SG	M	0	GIH.SG	1146568	0.879626	0.120374
NA21135.SG	GIH.SG	M	0	GIH.SG	1147058	0.880149	0.119851
NA21137.SG	GIH.SG	F	0	GIH.SG	1149919	0.826335	0.173665
NA21141.SG	GIH.SG	F	0	GIH.SG	1145779	0.903001	0.096999
NA21142.SG	GIH.SG	F	0	GIH.SG	1145551	0.896214	0.103786
NA21143.SG	GIH.SG	F	0	GIH.SG	1148033	0.912986	0.087014
NA21144.SG	GIH.SG	F	0	GIH.SG	1144823	0.884565	0.115435
I2871	AncSAS	F	1099.0	India_RoopkundA	441543	0.365571	0.634429
I2872	AncSAS	F	1099.0	India_RoopkundA	196121	0.315025	0.684975
I3346	AncSAS	M	1129.0	India_RoopkundA	267338	0.442048	0.557952
I3351	AncSAS	M	1118.0	India_RoopkundA	49544	0.280933	0.719067
I3352	AncSAS	M	1166.0	India_RoopkundA	580547	0.410102	0.589898
I3406	AncSAS	M	1016.0	India_RoopkundA	247446	0.276065	0.723935
I6934	AncSAS	F	1109.0	India_RoopkundA	520586	0.327839	0.672161
I6938	AncSAS	F	1152.0	India_RoopkundA	404365	0.363113	0.636887
I6943	AncSAS	M	1228.0	India_RoopkundA	142868	0.360886	0.639114
HG03713.SG	ITU.SG	M	0	ITU.SG	1149368	0.742959	0.257041
HG03714.SG	ITU.SG	F	0	ITU.SG	1148491	0.736158	0.263842
HG03715.SG	ITU.SG	M	0	ITU.SG	1149109	0.776213	0.223787
HG03716.SG	ITU.SG	M	0	ITU.SG	1149245	0.734925	0.265075
HG03717.SG	ITU.SG	F	0	ITU.SG	1147654	0.999990	0.000010
HG03718.SG	ITU.SG	M	0	ITU.SG	1128992	0.999990	0.000010
HG03720.SG	ITU.SG	M	0	ITU.SG	1141208	0.989144	0.010856
HG03722.SG	ITU.SG	F	0	ITU.SG	1149583	0.999990	0.000010
HG03727.SG	ITU.SG	M	0	ITU.SG	1149905	0.903087	0.096913
HG03729.SG	ITU.SG	M	0	ITU.SG	1148941	0.948010	0.051990
HG03730.SG	ITU.SG	F	0	ITU.SG	1147276	0.999990	0.000010
HG03731.SG	ITU.SG	F	0	ITU.SG	1149016	0.925875	0.074125
HG03742.SG	ITU.SG	M	0	ITU.SG	1141926	0.974756	0.025244
HG03770.SG	ITU.SG	F	0	ITU.SG	1149435	0.999990	0.000010
HG03771.SG	ITU.SG	M	0	ITU.SG	1149030	0.999990	0.000010
HG03772.SG	ITU.SG	F	0	ITU.SG	1145953	0.999990	0.000010
HG03773.SG	ITU.SG	M	0	ITU.SG	1149457	0.999990	0.000010
HG03774.SG	ITU.SG	F	0	ITU.SG	1108621	0.913925	0.086075
HG03775.SG	ITU.SG	M	0	ITU.SG	1149244	0.921082	0.078918
HG03777.SG	ITU.SG	M	0	ITU.SG	1139965	0.911823	0.088177
HG03778.SG	ITU.SG	M	0	ITU.SG	1141508	0.999990	0.000010
HG03779.SG	ITU.SG	M	0	ITU.SG	1145188	0.929404	0.070596
HG03780.SG	ITU.SG	F	0	ITU.SG	1136359	0.903503	0.096497
HG03781.SG	ITU.SG	F	0	ITU.SG	1149066	0.951357	0.048643
HG03782.SG	ITU.SG	F	0	ITU.SG	1139597	0.908941	0.091059
HG03784.SG	ITU.SG	F	0	ITU.SG	1147939	0.999990	0.000010
HG03785.SG	ITU.SG	M	0	ITU.SG	1138668	0.999990	0.000010
HG03786.SG	ITU.SG	M	0	ITU.SG	1148993	0.999990	0.000010
HG03787.SG	ITU.SG	F	0	ITU.SG	1148647	0.999990	0.000010
HG03788.SG	ITU.SG	M	0	ITU.SG	1149464	0.908929	0.091071
HG03789.SG	ITU.SG	F	0	ITU.SG	1148094	0.815831	0.184169
HG03790.SG	ITU.SG	M	0	ITU.SG	1141082	0.869837	0.130163
HG03792.SG	ITU.SG	M	0	ITU.SG	1139243	0.890578	0.109422
HG03861.SG	ITU.SG	F	0	ITU.SG	1145126	0.999990	0.000010
HG03862.SG	ITU.SG	F	0	ITU.SG	1149483	0.895174	0.104826
HG03863.SG	ITU.SG	F	0	ITU.SG	1142755	0.904934	0.095066
HG03864.SG	ITU.SG	M	0	ITU.SG	1149727	0.895740	0.104260
HG03866.SG	ITU.SG	M	0	ITU.SG	1129888	0.971755	0.028245
HG03867.SG	ITU.SG	M	0	ITU.SG	1142311	0.999990	0.000010
HG03868.SG	ITU.SG	F	0	ITU.SG	1140940	0.891352	0.108648
HG03869.SG	ITU.SG	M	0	ITU.SG	1149042	0.916119	0.083881
HG03870.SG	ITU.SG	M	0	ITU.SG	1136047	0.903221	0.096779
HG03871.SG	ITU.SG	M	0	ITU.SG	1143414	0.923842	0.076158
HG03872.SG	ITU.SG	M	0	ITU.SG	1143662	0.901711	0.098289
HG03873.SG	ITU.SG	F	0	ITU.SG	1146514	0.999990	0.000010
HG03874.SG	ITU.SG	F	0	ITU.SG	1149191	0.929853	0.070147
HG03875.SG	ITU.SG	M	0	ITU.SG	1144544	0.745398	0.254602
HG03882.SG	ITU.SG	F	0	ITU.SG	1148382	0.899127	0.100873
HG03960.SG	ITU.SG	M	0	ITU.SG	1139921	0.969425	0.030575
HG03963.SG	ITU.SG	M	0	ITU.SG	1146828	0.999990	0.000010
HG03965.SG	ITU.SG	M	0	ITU.SG	1146251	0.999990	0.000010
HG03967.SG	ITU.SG	M	0	ITU.SG	1145300	0.884556	0.115444
HG03968.SG	ITU.SG	F	0	ITU.SG	1138834	0.938012	0.061988
HG03969.SG	ITU.SG	M	0	ITU.SG	1127708	0.923717	0.076283
HG03971.SG	ITU.SG	M	0	ITU.SG	1133104	0.910606	0.089394
HG03973.SG	ITU.SG	F	0	ITU.SG	1123833	0.922753	0.077247
HG03974.SG	ITU.SG	M	0	ITU.SG	1147238	0.923453	0.076547
HG03976.SG	ITU.SG	M	0	ITU.SG	1132038	0.956343	0.043657
HG03977.SG	ITU.SG	F	0	ITU.SG	1137145	0.999990	0.000010
HG03978.SG	ITU.SG	M	0	ITU.SG	1148891	0.999990	0.000010
HG04001.SG	ITU.SG	F	0	ITU.SG	1064171	0.999990	0.000010
HG04002.SG	ITU.SG	M	0	ITU.SG	1138051	0.934608	0.065392
HG04014.SG	ITU.SG	F	0	ITU.SG	1135273	0.999990	0.000010
HG04015.SG	ITU.SG	M	0	ITU.SG	1134007	0.998459	0.001541
HG04017.SG	ITU.SG	M	0	ITU.SG	1137659	0.999990	0.000010
HG04018.SG	ITU.SG	F	0	ITU.SG	1138039	0.916855	0.083145
HG04019.SG	ITU.SG	M	0	ITU.SG	1140181	0.931946	0.068054
HG04020.SG	ITU.SG	M	0	ITU.SG	1136445	0.841632	0.158368
HG04022.SG	ITU.SG	M	0	ITU.SG	1140263	0.983633	0.016367
HG04023.SG	ITU.SG	M	0	ITU.SG	1131738	0.999990	0.000010
HG04025.SG	ITU.SG	F	0	ITU.SG	1132582	0.999990	0.000010
HG04026.SG	ITU.SG	F	0	ITU.SG	1143671	0.999990	0.000010
HG04054.SG	ITU.SG	F	0	ITU.SG	1107088	0.999990	0.000010
HG04056.SG	ITU.SG	M	0	ITU.SG	1132971	0.999990	0.000010
HG04059.SG	ITU.SG	F	0	ITU.SG	1123944	0.948385	0.051615
HG04060.SG	ITU.SG	M	0	ITU.SG	1125051	0.797921	0.202079
HG04061.SG	ITU.SG	M	0	ITU.SG	1113169	0.999990	0.000010
HG04062.SG	ITU.SG	F	0	ITU.SG	1105662	0.999990	0.000010
HG04063.SG	ITU.SG	F	0	ITU.SG	1130840	0.999990	0.000010
HG04070.SG	ITU.SG	F	0	ITU.SG	1139647	0.980461	0.019539
HG04076.SG	ITU.SG	F	0	ITU.SG	1117674	0.960843	0.039157
HG04080.SG	ITU.SG	M	0	ITU.SG	1126672	0.797442	0.202558
HG04090.SG	ITU.SG	F	0	ITU.SG	1130343	0.941344	0.058656
HG04093.SG	ITU.SG	M	0	ITU.SG	1138473	0.904640	0.095360
HG04094.SG	ITU.SG	M	0	ITU.SG	1121578	0.999990	0.000010
HG04096.SG	ITU.SG	M	0	ITU.SG	1142244	0.999990	0.000010
HG04098.SG	ITU.SG	M	0	ITU.SG	1141151	0.999990	0.000010
HG04118.SG	ITU.SG	F	0	ITU.SG	1131463	0.935321	0.064679
HG04198.SG	ITU.SG	M	0	ITU.SG	1147514	0.905070	0.094930
HG04200.SG	ITU.SG	F	0	ITU.SG	1147835	0.882822	0.117178
HG04202.SG	ITU.SG	F	0	ITU.SG	1146712	0.980380	0.019620
HG04206.SG	ITU.SG	M	0	ITU.SG	1145723	0.895311	0.104689
HG04209.SG	ITU.SG	F	0	ITU.SG	1147796	0.966009	0.033991
HG04211.SG	ITU.SG	M	0	ITU.SG	1144426	0.918363	0.081637
HG04212.SG	ITU.SG	F	0	ITU.SG	1145839	0.912043	0.087957
HG04214.SG	ITU.SG	F	0	ITU.SG	1147312	0.855641	0.144359
HG04216.SG	ITU.SG	F	0	ITU.SG	1147077	0.925088	0.074912
HG04219.SG	ITU.SG	M	0	ITU.SG	1132528	0.919584	0.080416
HG04222.SG	ITU.SG	M	0	ITU.SG	1147773	0.985960	0.014040
HG04225.SG	ITU.SG	M	0	ITU.SG	1144359	0.899062	0.100938
HG04235.SG	ITU.SG	M	0	ITU.SG	1146079	0.920515	0.079485
HG04238.SG	ITU.SG	M	0	ITU.SG	1146367	0.994353	0.005647
HG04239.SG	ITU.SG	M	0	ITU.SG	1146936	0.997903	0.002097
I6888	AncSAS	F	2747.0	Pakistan_Aligrama_IA	685003	0.305612	0.694388
I6557	AncSAS	F	2850.0	Pakistan_Arkotkila_IA	243456	0.000010	0.999990
I6545	AncSAS	F	2821.0	Pakistan_Barikot_IA	504759	0.000010	0.999990
I6546	AncSAS	F	2841.0	Pakistan_Barikot_IA	595852	0.000010	0.999990
I6548	AncSAS	M	2850.0	Pakistan_Barikot_IA	184393	0.000010	0.999990
I6547	AncSAS	F	2000.0	Pakistan_Barikot_H	334970	0.241037	0.758963
I12450	AncSAS	M	2751.0	Pakistan_Butkara_IA	584131	0.000010	0.999990
I12451	AncSAS	M	2850.0	Pakistan_Butkara_IA	502002	0.000010	0.999990
I12968	AncSAS	M	2850.0	Pakistan_Butkara_IA	701707	0.049659	0.950341
I13219	AncSAS	F	2850.0	Pakistan_Butkara_IA	669091	0.045638	0.954362
I8193	AncSAS	F	3128.0	Pakistan_Gogdara_IA	559321	0.009250	0.990750
I8194	AncSAS	M	2950.0	Pakistan_Gogdara_IA	813771	0.116983	0.883017
I8218	AncSAS	F	1949.0	Pakistan_Aligrama_H	1000006	0.237104	0.762896
I8220	AncSAS	M	2566.0	Pakistan_Aligrama_H	889105	0.219516	0.780484
I8245	AncSAS	M	2197.0	Pakistan_Aligrama_H	792623	0.393025	0.606975
I7714	AncSAS	F	1944.0	Pakistan_Barikot_H	688589	0.186037	0.813963
I6549	AncSAS	M	2041.0	Pakistan_Butkara_H	562858	0.091671	0.908329
I6550	AncSAS	M	1926.0	Pakistan_Butkara_H	700315	0.195191	0.804809
I6551	AncSAS	F	2000.0	Pakistan_Butkara_H	642813	0.229377	0.770623
I6552	AncSAS	F	2051.0	Pakistan_Butkara_H_mother.I6549	480782	0.119469	0.880531
I6891	AncSAS	M	2242.0	Pakistan_SaiduSharif_H	850770	0.146540	0.853460
I6894	AncSAS	F	2250.0	Pakistan_SaiduSharif_H	931125	0.260280	0.739720
I6896	AncSAS	F	2227.0	Pakistan_SaiduSharif_H	784264	0.249684	0.750316
I7717	AncSAS	F	2283.0	Pakistan_SaiduSharif_H	860019	0.280544	0.719456
I7718	AncSAS	M	2250.0	Pakistan_SaiduSharif_H	767080	0.106793	0.893207
I7719	AncSAS	F	2250.0	Pakistan_SaiduSharif_H	823993	0.183731	0.816269
I7720	AncSAS	F	2250.0	Pakistan_SaiduSharif_H	795412	0.225461	0.774539
I7721	AncSAS	M	2250.0	Pakistan_SaiduSharif_H	879140	0.237866	0.762134
I7723	AncSAS	F	2250.0	Pakistan_SaiduSharif_H	863014	0.255486	0.744514
I6893	AncSAS	F	2225.0	Pakistan_SaiduSharif_H_o2	606034	0.202071	0.797929
I10523	AncSAS	M	2850.0	Pakistan_Katelai_IA	678006	0.094592	0.905408
I12141	AncSAS	F	2850.0	Pakistan_Katelai_IA	190057	0.000010	0.999990
I12142	AncSAS	F	2850.0	Pakistan_Katelai_IA	472546	0.047762	0.952238
I12143	AncSAS	M	2850.0	Pakistan_Katelai_IA	460803	0.065617	0.934383
I12144	AncSAS	F	2850.0	Pakistan_Katelai_IA	91402	0.024356	0.975644
I12146	AncSAS	F	2850.0	Pakistan_Katelai_IA	608681	0.013767	0.986233
I12147	AncSAS	M	3052.0	Pakistan_Katelai_IA	423417	0.000010	0.999990
I12444	AncSAS	F	2850.0	Pakistan_Katelai_IA	82043	0.004353	0.995647
I12445	AncSAS	M	2850.0	Pakistan_Katelai_IA	653256	0.000010	0.999990
I12446	AncSAS	F	2850.0	Pakistan_Katelai_IA	420586	0.227595	0.772405
I12447	AncSAS	M	2850.0	Pakistan_Katelai_IA	453149	0.000010	0.999990
