IID	Group	Sex	Date	Population	NumSNPs	k1	k2	k3
NQO002	Bantu	F	1055.0	Botswana_Nqoma_EIA_lc	14050	0.719675	0.071460	0.208865
TAU001	Bantu	F	1000.0	Botswana_Taukome_EIA	77662	0.722198	0.080278	0.197524
XAR001	CAfr	M	1100.0	Botswana_Xaro_EIA	895865	0.597356	0.154723	0.247920
XAR002	CAfr	M	1100.0	Botswana_Xaro_EIA	678771	0.552413	0.181929	0.265659
I10871	CAfr	M	7913.0	Cameroon_SMA	1102897	0.000010	0.000010	0.999980
I10872	CAfr	M	7820.0	Cameroon_SMA	991496	0.000010	0.000010	0.999980
I10873	CAfr	M	3097.0	Cameroon_SMA	1090073	0.000010	0.000010	0.999980
I10874	CAfr	F	3135.0	Cameroon_SMA	1060469	0.000010	0.000010	0.999980
I10871_noUDG	CAfr	M	7913.0	Cameroon_SMA_noUDG	1120575	0.000010	0.000010	0.999980
I10872_noUDG	CAfr	M	7820.0	Cameroon_SMA_noUDG	1042246	0.000010	0.000010	0.999980
I10873_noUDG	CAfr	M	3097.0	Cameroon_SMA_noUDG	1118990	0.000010	0.000010	0.999980
I10874_noUDG	CAfr	F	3135.0	Cameroon_SMA_noUDG	1095212	0.000010	0.000010	0.999980
I10872_d	CAfr	M	7820.0	Cameroon_SMA_d	231296	0.000010	0.000010	0.999980
I10872_alt	CAfr	M	7820.0	Cameroon_SMA	542875	0.000010	0.000010	0.999980
I10871_noUDG.DG	CAfr	M	7913.0	Cameroon_SMA.DG	1140138	0.000010	0.000010	0.999980
I10871_noUDG.SG	CAfr	M	7913.0	Cameroon_SMA.SG	1147190	0.000010	0.000010	0.999980
I10873.SG	CAfr	M	3097.0	Cameroon_SMA.SG	1095125	0.000010	0.000010	0.999980
KIN002	Bantu	M	201.0	Congo_Kindoki_Protohistoric	428409	0.813705	0.072335	0.113960
KIN004	Bantu	M	207.0	Congo_Kindoki_Protohistoric	545579	0.820335	0.062483	0.117182
KIN003	Bantu	M	140.0	Congo_Kindoki_Protohistoric_o	19442	0.437094	0.454331	0.108575
MTN001	EAfr	F	766.0	Congo_MatangaiTuru_IA	50910	0.307161	0.540862	0.151978
NGO001	Bantu	M	199.0	Congo_NgongoMbata_Protohistoric	321685	0.829078	0.075119	0.095803
I5950	EAfr	M	4470.0	Ethiopia_4500BP	642958	0.000010	0.658497	0.341493
mota_noUDG.SG	EAfr	M	4470.0	Ethiopia_4500BP.SG	1148277	0.000010	0.710253	0.289737
I5950.DG	EAfr	M	4470.0	Ethiopia_4500BP.DG	1149600	0.000010	0.713078	0.286912
I5950.SG	EAfr	M	4470.0	Ethiopia_4500BP.SG	1149600	0.000010	0.713826	0.286164
I0595_noUDG	EAfr	M	402.0	Kenya_400BP	148530	0.218671	0.548197	0.233132
I12533	EAfr	M	3954.0	Kenya_EarlyPastoralN	589446	0.000010	0.999980	0.000010
I12534	EAfr	F	3914.0	Kenya_EarlyPastoralN	500173	0.000010	0.999980	0.000010
I12379	EAfr	M	268.0	Kenya_Historic_2	902105	0.277670	0.646807	0.075523
HYR002	EAfr	M	2270.0	Kenya_HyraxHill_PastoralN	494775	0.002332	0.990974	0.006694
I12381	EAfr	F	604.0	Kenya_IA_Pastoral	622601	0.266028	0.674932	0.059041
I8802	Bantu	M	1011.0	Kenya_IA_Pastoral_o	841699	0.634045	0.305250	0.060705
I8901	EAfr	M	1009.0	Kenya_IA_Pastoral_o	23944	0.252009	0.673729	0.074262
I8892	EAfr	M	1013.0	Kenya_IA_Pastoral	104171	0.274223	0.641891	0.083886
KPL002	Bantu	F	213.0	Kenya_Kakapel_LIA	690442	0.735163	0.177413	0.087424
KPL003	Bantu	F	808.0	Kenya_Kakapel_LIA	76570	0.478732	0.461579	0.059689
KPL001	EAfr	M	3887.0	Kenya_Kakapel_LSA_Kansyore	579394	0.277758	0.350134	0.372108
I8930	EAfr	M	4450.0	Kenya_Kansyore	31763	0.286569	0.363218	0.350214
I8931	EAfr	F	4450.0	Kenya_Kansyore	32851	0.248636	0.395561	0.355803
I8808	EAfr	M	1786.0	Kenya_LSA	692488	0.255857	0.404796	0.339348
LUK001	EAfr	M	3499.0	Kenya_LukenyaHill_PastoralN	484937	0.000010	0.953543	0.046447
LUK003	EAfr	F	3536.0	Kenya_LukenyaHill_PastoralN_lc	6725	0.000010	0.999980	0.000010
MOL001	EAfr	M	1364.0	Kenya_MoloCave_PastoralN	851299	0.110253	0.775495	0.114252
MOL003	EAfr	F	2025.0	Kenya_MoloCave_PastoralN	56400	0.000010	0.955912	0.044078
NYA002	EAfr	F	3462.0	Kenya_Nyarindi_LSA_Kansyore	121723	0.220851	0.393736	0.385412
NYA003	EAfr	M	3475.0	Kenya_Nyarindi_LSA_Kansyore	18548	0.163844	0.479362	0.356794
I12384	EAfr	M	1654.0	Kenya_PastoralN	427619	0.008571	0.955612	0.035816
I8758	EAfr	M	2498.0	Kenya_PastoralN	287154	0.031229	0.956783	0.011989
I8804	EAfr	M	2493.0	Kenya_PastoralN	417362	0.000010	0.998093	0.001897
I8809	EAfr	M	2967.0	Kenya_PastoralN	862604	0.023870	0.967212	0.008919
I8814	EAfr	F	2392.0	Kenya_PastoralN	830374	0.032562	0.916427	0.051011
I8874	EAfr	M	3241.0	Kenya_PastoralN	872156	0.022313	0.954050	0.023637
I8918	EAfr	M	2229.0	Kenya_PastoralN	814836	0.022573	0.947500	0.029928
I8919	EAfr	M	2233.0	Kenya_PastoralN	791168	0.067206	0.891959	0.040835
I10719	EAfr	F	1969.0	Kenya_PastoralN_Elmenteitan	548568	0.012983	0.958668	0.028349
I12394	EAfr	F	1426.0	Kenya_PastoralN_Elmenteitan	371185	0.000010	0.954370	0.045620
I12398	EAfr	M	2520.0	Kenya_PastoralN_Elmenteitan	407948	0.000010	0.999561	0.000429
I8805	EAfr	F	1776.0	Kenya_PastoralN_Elmenteitan	877155	0.045811	0.921629	0.032560
I8922	EAfr	M	2387.0	Kenya_PastoralN_Elmenteitan	785284	0.022152	0.957057	0.020790
I8923	EAfr	M	2452.0	Kenya_PastoralN_Elmenteitan_o	142157	0.000010	0.998729	0.001261
I8904	EAfr	M	4200.0	Kenya_PastoralN_Nderit_possible	99716	0.034952	0.965038	0.000010
I8904_d	EAfr	M	4200.0	Kenya_PastoralN_Nderit_possible_lc	9418	0.000010	0.999980	0.000010
I8759	EAfr	M	2600.0	Kenya_PastoralN	74713	0.010966	0.989024	0.000010
I8820	EAfr	F	2781.0	Kenya_PastoralN	78692	0.000010	0.999980	0.000010
I8830	EAfr	M	2240.0	Kenya_PastoralN	106769	0.000010	0.987551	0.012439
I8920	EAfr	M	2236.0	Kenya_PastoralN	752878	0.039604	0.906109	0.054288
NA19017.SG	LWK.SG	F	0	LWK.SG	1148629	0.863186	0.080154	0.056659
NA19019.SG	LWK.SG	F	0	LWK.SG	1147992	0.852089	0.095558	0.052352
NA19020.SG	LWK.SG	M	0	LWK.SG	1137520	0.817441	0.122063	0.060497
NA19023.SG	LWK.SG	F	0	LWK.SG	1149240	0.872393	0.073874	0.053734
NA19024.SG	LWK.SG	F	0	LWK.SG	1148777	0.836720	0.103262	0.060018
NA19025.SG	LWK.SG	M	0	LWK.SG	1144742	0.859577	0.083912	0.056511
NA19026.SG	LWK.SG	M	0	LWK.SG	1147795	0.847164	0.106357	0.046479
NA19027.SG	LWK.SG	M	0	LWK.SG	1144833	0.787682	0.159034	0.053284
NA19028.SG	LWK.SG	M	0	LWK.SG	1143651	0.785470	0.144882	0.069648
NA19030.SG	LWK.SG	F	0	LWK.SG	1146510	0.827231	0.113051	0.059717
NA19031.SG	LWK.SG	M	0	LWK.SG	1141845	0.812652	0.128673	0.058675
NA19035.SG	LWK.SG	M	0	LWK.SG	1142628	0.830340	0.117357	0.052303
NA19036.SG	LWK.SG	F	0	LWK.SG	1112564	0.840487	0.095852	0.063660
NA19037.SG	LWK.SG	F	0	LWK.SG	1144210	0.839131	0.112490	0.048379
NA19038.SG	LWK.SG	F	0	LWK.SG	1146298	0.852651	0.094097	0.053252
NA19041.SG	LWK.SG	M	0	LWK.SG	1147379	0.836437	0.115117	0.048446
NA19042.SG	LWK.SG	F	0	LWK.SG	1146273	0.787239	0.153876	0.058885
NA19043.SG	LWK.SG	M	0	LWK.SG	1146826	0.831322	0.113065	0.055613
NA19307.SG	LWK.SG	M	0	LWK.SG	1146828	0.829159	0.121146	0.049696
NA19308.SG	LWK.SG	M	0	LWK.SG	1147933	0.838493	0.102222	0.059284
NA19309.SG	LWK.SG	M	0	LWK.SG	1137622	0.833204	0.106965	0.059831
NA19310.SG	LWK.SG	F	0	LWK.SG	1145484	0.840098	0.092513	0.067390
NA19311.SG	LWK.SG	M	0	LWK.SG	978023	0.861663	0.131916	0.006421
NA19312.SG	LWK.SG	M	0	LWK.SG	1053731	0.893454	0.082930	0.023616
NA19313.SG	LWK.SG	F	0	LWK.SG	946753	0.893605	0.096099	0.010296
NA19314.SG	LWK.SG	F	0	LWK.SG	1142243	0.785118	0.160441	0.054441
NA19315.SG	LWK.SG	F	0	LWK.SG	1100860	0.802090	0.139817	0.058093
NA19316.SG	LWK.SG	F	0	LWK.SG	1100777	0.849470	0.110900	0.039629
NA19317.SG	LWK.SG	M	0	LWK.SG	1105842	0.855030	0.082503	0.062467
NA19318.SG	LWK.SG	M	0	LWK.SG	1124620	0.850016	0.097678	0.052306
NA19319.SG	LWK.SG	M	0	LWK.SG	1137180	0.844654	0.117446	0.037900
NA19320.SG	LWK.SG	F	0	LWK.SG	1135324	0.859093	0.105936	0.034971
NA19321.SG	LWK.SG	F	0	LWK.SG	1109184	0.830939	0.109916	0.059145
NA19323.SG	LWK.SG	F	0	LWK.SG	1145291	0.797712	0.154660	0.047628
NA19324.SG	LWK.SG	F	0	LWK.SG	1099077	0.830570	0.101545	0.067886
NA19327.SG	LWK.SG	F	0	LWK.SG	1107608	0.777013	0.166720	0.056267
NA19328.SG	LWK.SG	F	0	LWK.SG	1105160	0.850914	0.091551	0.057535
NA19331.SG	LWK.SG	M	0	LWK.SG	1114542	0.885944	0.093918	0.020138
NA19332.SG	LWK.SG	F	0	LWK.SG	1105871	0.875838	0.097993	0.026169
NA19334.SG	LWK.SG	M	0	LWK.SG	1066233	0.915578	0.084412	0.000010
NA19338.SG	LWK.SG	F	0	LWK.SG	1098906	0.884951	0.100304	0.014745
NA19346.SG	LWK.SG	M	0	LWK.SG	1093237	0.931711	0.059284	0.009005
NA19347.SG	LWK.SG	M	0	LWK.SG	1102041	0.910737	0.085768	0.003494
NA19350.SG	LWK.SG	M	0	LWK.SG	1088660	0.915644	0.084346	0.000010
NA19351.SG	LWK.SG	F	0	LWK.SG	1129878	0.887445	0.081055	0.031500
NA19355.SG	LWK.SG	F	0	LWK.SG	1142561	0.811525	0.119539	0.068936
NA19360.SG	LWK.SG	M	0	LWK.SG	1146983	0.829192	0.109817	0.060991
NA19372.SG	LWK.SG	M	0	LWK.SG	1140040	0.836045	0.091340	0.072615
NA19374.SG	LWK.SG	M	0	LWK.SG	1139086	0.790123	0.132228	0.077649
NA19375.SG	LWK.SG	M	0	LWK.SG	1135081	0.825637	0.121524	0.052839
NA19376.SG	LWK.SG	M	0	LWK.SG	1137553	0.856999	0.083212	0.059789
NA19377.SG	LWK.SG	F	0	LWK.SG	1138010	0.827957	0.114339	0.057705
NA19378.SG	LWK.SG	F	0	LWK.SG	1147454	0.846739	0.102170	0.051091
NA19379.SG	LWK.SG	F	0	LWK.SG	1137094	0.830076	0.101934	0.067991
NA19380.SG	LWK.SG	M	0	LWK.SG	1141554	0.788484	0.143360	0.068157
NA19383.SG	LWK.SG	M	0	LWK.SG	1145999	0.812787	0.123739	0.063475
NA19384.SG	LWK.SG	M	0	LWK.SG	1135542	0.883241	0.067949	0.048810
NA19385.SG	LWK.SG	M	0	LWK.SG	1137725	0.784973	0.135991	0.079035
NA19390.SG	LWK.SG	F	0	LWK.SG	1144990	0.826666	0.116542	0.056792
NA19391.SG	LWK.SG	F	0	LWK.SG	1136358	0.866195	0.070166	0.063638
NA19393.SG	LWK.SG	M	0	LWK.SG	1135838	0.829445	0.108728	0.061827
NA19394.SG	LWK.SG	M	0	LWK.SG	1138747	0.826783	0.112521	0.060696
NA19395.SG	LWK.SG	F	0	LWK.SG	1130911	0.799343	0.132162	0.068495
NA19397.SG	LWK.SG	M	0	LWK.SG	1140488	0.855567	0.097377	0.047056
NA19399.SG	LWK.SG	F	0	LWK.SG	1137384	0.851487	0.072810	0.075703
NA19401.SG	LWK.SG	F	0	LWK.SG	1138490	0.808685	0.127047	0.064268
NA19403.SG	LWK.SG	F	0	LWK.SG	1137363	0.793200	0.154597	0.052203
NA19404.SG	LWK.SG	F	0	LWK.SG	1136528	0.834269	0.108004	0.057727
NA19428.SG	LWK.SG	M	0	LWK.SG	1142240	0.824216	0.116615	0.059169
NA19429.SG	LWK.SG	M	0	LWK.SG	1097825	0.864964	0.091682	0.043354
NA19430.SG	LWK.SG	M	0	LWK.SG	930972	0.911512	0.079240	0.009248
NA19431.SG	LWK.SG	F	0	LWK.SG	979640	0.897501	0.068199	0.034301
NA19434.SG	LWK.SG	F	0	LWK.SG	1085538	0.838838	0.114933	0.046228
NA19435.SG	LWK.SG	F	0	LWK.SG	1074848	0.839958	0.116194	0.043848
NA19436.SG	LWK.SG	F	0	LWK.SG	878650	0.922034	0.071975	0.005991
NA19437.SG	LWK.SG	F	0	LWK.SG	1141395	0.798781	0.149927	0.051292
NA19438.SG	LWK.SG	F	0	LWK.SG	809951	0.942008	0.057982	0.000010
NA19439.SG	LWK.SG	F	0	LWK.SG	1142530	0.840160	0.109116	0.050724
NA19440.SG	LWK.SG	F	0	LWK.SG	1142689	0.883367	0.090662	0.025971
NA19443.SG	LWK.SG	M	0	LWK.SG	1137990	0.841279	0.107403	0.051318
NA19445.SG	LWK.SG	F	0	LWK.SG	1136705	0.876653	0.102375	0.020973
NA19446.SG	LWK.SG	F	0	LWK.SG	1143241	0.850962	0.101217	0.047821
NA19448.SG	LWK.SG	M	0	LWK.SG	966322	0.862465	0.110323	0.027212
NA19449.SG	LWK.SG	F	0	LWK.SG	1012936	0.895505	0.074121	0.030375
NA19451.SG	LWK.SG	M	0	LWK.SG	1024164	0.917969	0.082021	0.000010
NA19452.SG	LWK.SG	M	0	LWK.SG	1075869	0.844249	0.121877	0.033874
NA19454.SG	LWK.SG	M	0	LWK.SG	1147585	0.852090	0.103597	0.044314
NA19455.SG	LWK.SG	M	0	LWK.SG	1096882	0.816648	0.122976	0.060376
NA19456.SG	LWK.SG	F	0	LWK.SG	1003733	0.854054	0.094541	0.051405
NA19457.SG	LWK.SG	F	0	LWK.SG	1062023	0.858264	0.097762	0.043974
NA19461.SG	LWK.SG	M	0	LWK.SG	1056076	0.857309	0.106791	0.035901
NA19462.SG	LWK.SG	F	0	LWK.SG	1090268	0.917548	0.060892	0.021561
NA19463.SG	LWK.SG	F	0	LWK.SG	1144701	0.819395	0.141156	0.039449
NA19466.SG	LWK.SG	M	0	LWK.SG	1070098	0.857922	0.118404	0.023674
NA19467.SG	LWK.SG	F	0	LWK.SG	1063579	0.849826	0.129299	0.020875
NA19468.SG	LWK.SG	F	0	LWK.SG	980872	0.860596	0.098604	0.040800
NA19471.SG	LWK.SG	F	0	LWK.SG	1080585	0.889957	0.100289	0.009754
NA19472.SG	LWK.SG	F	0	LWK.SG	1112055	0.856225	0.118021	0.025754
NA19473.SG	LWK.SG	F	0	LWK.SG	1023689	0.899880	0.095914	0.004206
NA19474.SG	LWK.SG	F	0	LWK.SG	1114881	0.838583	0.127536	0.033881
NA19475.SG	LWK.SG	F	0	LWK.SG	1147838	0.805073	0.125456	0.069470
I4421	CAfr	F	5150.0	Malawi_Chencherere_LSA_5200BP	206877	0.000010	0.145119	0.854871
I4422	CAfr	F	5156.0	Malawi_Chencherere_LSA_5200BP	42144	0.000010	0.000010	0.999980
I4421_noUDG	CAfr	F	5150.0	Malawi_Chencherere_LSA_5200BP_noUDG	231873	0.000010	0.164547	0.835443
I4422_noUDG	CAfr	F	5156.0	Malawi_Chencherere_LSA_5200BP_noUDG	45888	0.000010	0.000010	0.999980
I4426	CAfr	F	2408.0	Malawi_Fingira_LSA_2500BP	995552	0.000010	0.167918	0.832072
I4426_noUDG	CAfr	F	2408.0	Malawi_Fingira_LSA_2500BP_noUDG	996875	0.000010	0.167972	0.832018
I4468	CAfr	M	6039.0	Malawi_Fingira_LSA_6000BP	150040	0.000010	0.000010	0.999980
I4468_noUDG	CAfr	M	6039.0	Malawi_Fingira_LSA_6000BP_noUDG	159372	0.000010	0.000010	0.999980
I11019	CAfr	M	4300.0	Malawi_Fingira_LSA_6000BP_lc	5740	0.191768	0.353548	0.454684
I19528	CAfr	M	15500.0	Malawi_Hora_LSA_15500BP	175317	0.174608	0.251369	0.574023
I19529	CAfr	M	15500.0	Malawi_Hora_LSA_15500BP	37960	0.120387	0.249023	0.630590
I2967	CAfr	F	8018.0	Malawi_Hora_LSA_8500BP	68313	0.000010	0.000010	0.999980
I2967_noUDG	CAfr	F	8018.0	Malawi_Hora_LSA_8500BP_noUDG	86739	0.000010	0.000010	0.999980
I2966_noUDG.SG	CAfr	M	8895.0	Malawi_Hora_LSA_8500BP.SG	186072	0.220152	0.257228	0.522620
I2967_noUDG.SG	CAfr	F	8018.0	Malawi_Hora_LSA_8500BP.SG	23082	0.000010	0.010941	0.989049
cha001.SG	Bantu	F	355.0	South_Africa_400BP.SG	269373	0.786621	0.044724	0.168655
ela001.SG	Bantu	F	491.0	South_Africa_400BP.SG	1149571	0.833647	0.033597	0.132756
mfo001.SG	Bantu	F	390.0	South_Africa_400BP.SG	1146376	0.811167	0.042367	0.146467
new001.SG	Bantu	F	435.0	South_Africa_400BP.SG	1149476	0.831419	0.028835	0.139746
I17470	EAfr	M	950.0	Sudan_EarlyChristian	15183	0.000010	0.999980	0.000010
I21010	EAfr	F	1100.0	Sudan_EarlyChristian	19115	0.000010	0.999980	0.000010
I21035	EAfr	M	1100.0	Sudan_EarlyChristian	270212	0.000010	0.999980	0.000010
I21036	EAfr	M	1100.0	Sudan_EarlyChristian	26831	0.000010	0.999980	0.000010
I21037	EAfr	M	1100.0	Sudan_EarlyChristian	158011	0.000010	0.999980	0.000010
I20913	EAfr	F	1100.0	Sudan_EarlyChristian_lc	6425	0.000010	0.999980	0.000010
I21008	EAfr	F	1100.0	Sudan_EarlyChristian_lc	7426	0.000010	0.999980	0.000010
I21041	EAfr	M	1100.0	Sudan_EarlyChristian_lc	12101	0.000010	0.999980	0.000010
I20916	EAfr	F	1100.0	Sudan_EarlyChristian_o_lc	5346	0.000010	0.999980	0.000010
I19013	EAfr	F	1100.0	Sudan_EarlyChristian_R	18614	0.000010	0.999980	0.000010
I19014	EAfr	M	1100.0	Sudan_EarlyChristian_R	78379	0.000010	0.999980	0.000010
I19015	EAfr	M	1100.0	Sudan_EarlyChristian_R	177207	0.000010	0.999980	0.000010
I19132	EAfr	M	1100.0	Sudan_EarlyChristian_R	51496	0.000010	0.999980	0.000010
I19134	EAfr	F	1100.0	Sudan_EarlyChristian_R	20464	0.000010	0.999980	0.000010
I19135	EAfr	F	1100.0	Sudan_EarlyChristian_R	39429	0.049398	0.917367	0.033235
I19136	EAfr	F	1100.0	Sudan_EarlyChristian_R	36599	0.000010	0.999980	0.000010
I19138	EAfr	M	1100.0	Sudan_EarlyChristian_R	40347	0.000010	0.999980	0.000010
I19139	EAfr	F	1100.0	Sudan_EarlyChristian_R	84914	0.000010	0.999980	0.000010
I19140	EAfr	M	1100.0	Sudan_EarlyChristian_R	22223	0.000010	0.999980	0.000010
I19143	EAfr	M	1100.0	Sudan_EarlyChristian_R	48375	0.000010	0.999980	0.000010
I19144	EAfr	F	1100.0	Sudan_EarlyChristian_R	21551	0.000010	0.999980	0.000010
I19145	EAfr	F	1100.0	Sudan_EarlyChristian_R	67717	0.000010	0.999980	0.000010
I19148	EAfr	F	1100.0	Sudan_EarlyChristian_R	52730	0.000010	0.999980	0.000010
I6139	EAfr	M	1223.0	Sudan_EarlyChristian_R	129765	0.000010	0.999980	0.000010
I6140	EAfr	F	1177.0	Sudan_EarlyChristian_R	257952	0.000010	0.999980	0.000010
I6141	EAfr	F	1090.0	Sudan_EarlyChristian_R	264857	0.000010	0.999980	0.000010
I6250	EAfr	M	1138.0	Sudan_EarlyChristian_R	87470	0.000010	0.999980	0.000010
I6251	EAfr	F	1115.0	Sudan_EarlyChristian_R	293612	0.000010	0.999980	0.000010
I6252	EAfr	M	1155.0	Sudan_EarlyChristian_R	305755	0.000010	0.999980	0.000010
I6253	EAfr	F	1103.0	Sudan_EarlyChristian_R	325691	0.000010	0.999980	0.000010
I6327	EAfr	M	990.0	Sudan_EarlyChristian_R	365106	0.000010	0.999980	0.000010
I6328	EAfr	M	1031.0	Sudan_EarlyChristian_R	174648	0.077384	0.922606	0.000010
I6330	EAfr	F	1214.0	Sudan_EarlyChristian_R	261481	0.000010	0.999980	0.000010
I6340	EAfr	M	1090.0	Sudan_EarlyChristian_R	290671	0.000018	0.999972	0.000010
I6138	EAfr	M	1223.0	Sudan_EarlyChristian_R_brother.of.I6331	74815	0.000010	0.999980	0.000010
I6331	EAfr	M	1125.0	Sudan_EarlyChristian_R_dup.I21009	421546	0.000010	0.999980	0.000010
I6329	EAfr	F	1112.0	Sudan_EarlyChristian_R_dup.I21012	249329	0.000010	0.999980	0.000010
I19133	EAfr	M	1100.0	Sudan_EarlyChristian_R_lc	8557	0.000010	0.999980	0.000010
I19141	EAfr	M	1100.0	Sudan_EarlyChristian_R_lc	13382	0.000013	0.999977	0.000010
I19142	EAfr	F	1100.0	Sudan_EarlyChristian_R_lc	5819	0.000010	0.999980	0.000010
I19146	EAfr	F	1100.0	Sudan_EarlyChristian_R_lc	12286	0.000010	0.999980	0.000010
I19137	EAfr	F	1100.0	Sudan_EarlyChristian_R_oWestEurasian	22651	0.000010	0.999980	0.000010
I17449	EAfr	F	1100.0	Sudan_EarlyChristian_S	119285	0.000010	0.999980	0.000010
I17450	EAfr	F	1100.0	Sudan_EarlyChristian_S	105825	0.000010	0.999980	0.000010
I17451	EAfr	F	1100.0	Sudan_EarlyChristian_S	24702	0.000010	0.999980	0.000010
I17473	EAfr	F	1100.0	Sudan_EarlyChristian_S	47121	0.000010	0.999980	0.000010
I17477	EAfr	F	1100.0	Sudan_EarlyChristian_S	46378	0.000010	0.999980	0.000010
I17481	EAfr	M	1075.0	Sudan_EarlyChristian_S	163775	0.000015	0.999975	0.000010
I17482	EAfr	M	1100.0	Sudan_EarlyChristian_S	62500	0.000010	0.999980	0.000010
I18505	EAfr	F	1100.0	Sudan_EarlyChristian_S	49249	0.000010	0.999980	0.000010
I18507	EAfr	F	1100.0	Sudan_EarlyChristian_S	233570	0.000010	0.999980	0.000010
I18508	EAfr	M	1100.0	Sudan_EarlyChristian_S	245765	0.015738	0.984252	0.000010
I18510	EAfr	F	1100.0	Sudan_EarlyChristian_S	61271	0.020967	0.964008	0.015025
I18511	EAfr	F	1100.0	Sudan_EarlyChristian_S	176056	0.000010	0.999980	0.000010
I18514	EAfr	M	1150.0	Sudan_EarlyChristian_S	96650	0.000010	0.999980	0.000010
I18516	EAfr	M	1100.0	Sudan_EarlyChristian_S	17842	0.000010	0.999980	0.000010
I18517	EAfr	F	1100.0	Sudan_EarlyChristian_S	60652	0.000010	0.999980	0.000010
I18518	EAfr	F	1100.0	Sudan_EarlyChristian_S	264022	0.000010	0.999980	0.000010
I18519	EAfr	F	1100.0	Sudan_EarlyChristian_S	573789	0.000010	0.999980	0.000010
I18520	EAfr	M	1100.0	Sudan_EarlyChristian_S	272545	0.000010	0.999980	0.000010
I18521	EAfr	F	1100.0	Sudan_EarlyChristian_S	355332	0.000010	0.999980	0.000010
I18522	EAfr	F	1100.0	Sudan_EarlyChristian_S	280043	0.000010	0.999980	0.000010
I18525	EAfr	F	1075.0	Sudan_EarlyChristian_S	310834	0.000010	0.999980	0.000010
I18536	EAfr	F	1100.0	Sudan_EarlyChristian_S	118643	0.000010	0.999980	0.000010
I18538	EAfr	F	1150.0	Sudan_EarlyChristian_S	163263	0.000010	0.999980	0.000010
I18540_d	EAfr	M	1100.0	Sudan_EarlyChristian_S	19196	0.000010	0.999980	0.000010
I18610	EAfr	M	1100.0	Sudan_EarlyChristian_S	246712	0.000010	0.999980	0.000010
I6254	EAfr	M	999.0	Sudan_EarlyChristian_S	278165	0.000010	0.999980	0.000010
I6255	EAfr	M	1138.0	Sudan_EarlyChristian_S	570913	0.000010	0.999980	0.000010
I6256	EAfr	F	1119.0	Sudan_EarlyChristian_S	336685	0.000010	0.999980	0.000010
I6257	EAfr	M	1127.0	Sudan_EarlyChristian_S	281058	0.000010	0.999980	0.000010
I6258	EAfr	F	1177.0	Sudan_EarlyChristian_S	349142	0.000010	0.999980	0.000010
I6324	EAfr	F	1127.0	Sudan_EarlyChristian_S	504693	0.000010	0.999980	0.000010
I6325	EAfr	M	1223.0	Sudan_EarlyChristian_S	515032	0.000010	0.999980	0.000010
I6326	EAfr	F	1230.0	Sudan_EarlyChristian_S	719500	0.000010	0.999980	0.000010
I6332	EAfr	M	1112.0	Sudan_EarlyChristian_S	610355	0.000010	0.999980	0.000010
I6333	EAfr	F	1177.0	Sudan_EarlyChristian_S	110054	0.000010	0.999980	0.000010
