IID	Group	Sex	Date	Population	NumSNPs	k1	k2	k3
I4427	CAfr	M	6009.0	Malawi_Fingira_LSA_6000BP	238124	0.000010	0.000010	0.999980
I4427_noUDG	CAfr	M	6009.0	Malawi_Fingira_LSA_6000BP_noUDG	308943	0.000010	0.000010	0.999980
S_Biaka-1.DG	Biaka_All	M	0	Biaka.DG	1118785	0.537086	0.000010	0.462904
S_Biaka-2.DG	Biaka_All	M	0	Biaka.DG	1112355	0.512516	0.000010	0.487474
HGDP00454.DG	Biaka_All	M	0	Biaka.DG	1139306	0.587285	0.000010	0.412705
HGDP00455.DG	Biaka_All	M	0	Biaka.DG	1139294	0.578345	0.000010	0.421645
HGDP00457.DG	Biaka_All	M	0	Biaka.DG	1140911	0.538291	0.000010	0.461699
HGDP00458.DG	Biaka_All	M	0	Biaka.DG	1136749	0.580140	0.000010	0.419850
HGDP00459.DG	Biaka_All	M	0	Biaka.DG	1137467	0.578357	0.000010	0.421633
HGDP00460.DG	Biaka_All	M	0	Biaka.DG	1138330	0.601258	0.000010	0.398732
HGDP00461.DG	Biaka_All	M	0	Biaka.DG	1140791	0.514001	0.000010	0.485989
HGDP00464.DG	Biaka_All	M	0	Biaka.DG	1137082	0.578360	0.000010	0.421630
HGDP00466.DG	Biaka_All	M	0	Biaka.DG	1133199	0.580564	0.000010	0.419426
HGDP00469.DG	Biaka_All	M	0	Biaka.DG	1134698	0.583171	0.000010	0.416819
HGDP00470.DG	Biaka_All	M	0	Biaka.DG	1134769	0.583010	0.000010	0.416980
HGDP00472.DG	Biaka_All	M	0	Biaka.DG	1137492	0.595129	0.000010	0.404861
HGDP00473.DG	Biaka_All	M	0	Biaka.DG	1136740	0.581933	0.000010	0.418057
HGDP00475.DG	Biaka_All	M	0	Biaka.DG	1137319	0.596826	0.000010	0.403164
HGDP00985.DG	Biaka_All	M	0	Biaka.DG	1135102	0.571299	0.000010	0.428691
HGDP00986.DG	Biaka_All	M	0	Biaka.DG	1134690	0.591785	0.000010	0.408205
HGDP01086.DG	Biaka_All	M	0	Biaka.DG	1137507	0.580147	0.000010	0.419843
HGDP01090.DG	Biaka_All	M	0	Biaka.DG	1136408	0.578144	0.000010	0.421846
HGDP01094.DG	Biaka_All	M	0	Biaka.DG	1137446	0.582914	0.000010	0.417076
